respond	context_0
Okay, okay, okay. Bye-bye. Bye-bye! Moving on. See you later. Help someone else. I'm sorry.	Oh, uh, ye we were just talking. This guy he is the bomb!
He wrote down the guy sweats when he exercises.	Relax, Bambi. Be nice to Thumper!
I'll call Ripley's!	I do.
Yeah it was! Okay!	Cool! Great first day, Dr. Dorian!
Yes, Carla! They're each one mistake, but when you put 'em all together, it makes, like, 4 million mistakes!	Relax, Bambi, it's just one mista
I'm sorry.	Mmm-hmmm.
I'm s I'm sorry.	Yeah, you are.
Carla... I gotta go home.	Egh.
No, no, no. But Josh did all this.	Hold it, Q-Tip. You have to co-sign all these orders, fill out a vascular consult on Bed 3, and get a tox-screen for Mrs. O'Brien.
Mrs. O'Brien, I'm afraid I'm gonna need a urine sample.	Uh-uh, honey. I don't think so.
Wh-what was it that tipped you off? Was it your, uh, inability to perform even the simplest task? I'll bet it was the fact that I only got home twenty minutes ago because I spent the entire night cleaning up after you!	I came by because...I know I didn't do so great yesterday, but
Well, you know what, Josh, you should be scared. Because, I gotta be honest with you I don't think you got what it takes. Do you?I didn't think so.You can stare at me all you want, I'm still not gonna feel bad about what I said to Josh.You don't scare me, woman!I'm so sorry, I'll apologize at rounds.Oh, Nurse Roberts, have you seen Josh?	I'm sorry. Um...I was just really scared.
I didn't mean for that to happen! I didn't.	Nice job, Bambi.
Okay, here's what happened.	J.D. trying to keep up with Elliot.
I mean, he was screwing up constantly.	J.D. Trying to keep up with Nurse Roberts.
It's not like I forced him to quit.	J.D. trying to keep up with Turk.
I just don't think it's my fault he quit.	J.D. standing against the doorframe looking into the Admissions Area.
I was talking to her.	I don't know.... I think most of the bad things that happen around here are your fault.
Even Nurse Roberts says he's the most incompetent young doctor she's ever worked with.	Well, I'm not gonna tell you what you wanna hear.
It's not my fault he failed.	That he was the most incompetent young doctor I ever worked with.
Kidding! Josh! But you know what, forget all of that. The thing is, you have to hang in there. Now, I promise you, I am gonna help you.Here we go!You're doin' it! You're doin' it! Yeah you are! You're doin' it!So what do you say?	You told me I shouldn't be a doctor.
Why would anyone feel sorry for you?	Look, Dr. Dorian, I know what you're trying to do. My whole life, people have felt sorry for me.
But Josh, those are the same things that I was dealing with when I first started here.... Except for the the ass part.... I actually have a...great ass. It's...firm, like mutton.	Look at me! I'm clumsy, I'm always throwing up, I don't even have an ass!
Newbie, wait.	I can't.
Shut up.Look, Josh. You're the one who knows whether you wanna be a doctor or not. But right now, I kinda got my hands full, okay? So whatta ya say you put some gloves on, Shirley, and get the hell in here.Okay, now, locate the radial pulse.Josh, look at me.You can do this.	"Newbie"?
What do you want, a cookie? Go put your scrubs on and get back here.Go go go!	No way!
Could you...re-do that?	G'head.That's it.
I think a lot of us get freaked out when med students come because it feels like being forced to accept new people into your family.It changes everything. Me, I was more struck by how these "newbies" made me look at myself....	I know, isn't it great!
Elliot, have you seen my clipboard?	I guess.
How's it going, man?	No. Nope. Oh, this'll be fun. J.D., I would like you to meet, J.D.
Are you bummed out that we have the same name?Oh, don't don't worry about it, man; I'll tell you what you're a little bit older than I am, so you were J.D. first. So how about you'll be J.D. Number One, and I'll just be J.D. Number Two. How about that?	Make him leave.
Hey Number One. So, uh, I've got one more patient, do you want to have lunch in ten minutes and you can bring my clipboard?	Hey Number Two.
Okay.	Yeah.
Number One!All right, cool.	Hey, Number Two!
Number One!	Hey, Number Two!
I honestly think the best part about working here is the patients. When they see how much you care, they're always grateful.	Number One!
Okay, Mr. Simon. Good morning, how you feeling?	About time. Idiot.
No, sir, I was just trying to assess how you're	I was just asking Nurse Fajita here if you guys get extra points for asking stupid questions.
Carla, please. Sir, if there's anything I can do to make your stay here more comfortable	Bambi. Don't bother.
Okay. Will you hold me after?Maybe we shouldn't bother.	You can kiss my man-sized ass!
Which one?	Hey Bambi, you know Mr. Simon made one of the night nurses cry?
Frank used to be a Navy SEAL.	Frank.
Hey, Number One.	Hey, Number Two!
Simon says "Hello"!	Because, Bambi, you're kind of like a doctor. Now come on, he's just another patient.
Just going to have Carla here give you a little stronger pain medication.	What the hell do you want?
Toodles.	Beat it, junior.
What?Hey! Hey, is that my stethoscope?	No. Um, Maybe you left it in one of the girl's bathrooms?
I'm not hiding from Mr. Simon, I have a new exercise program; it's called 'Short Bursts'.	You don't have to hide from Mr. Simon.
Do you have to ask?	Mmm, is it working?
Huh. Where did Mr. Simon go?	Yeah.
Hey, Number One. What happened?	Hey, Number Two!
Hey, Number One. Did you give him a dose of naloxone?	Hey, Number Two!
He went so fast.	Hey, Number Two!
Hey, Number One.	Yeah. Say "Hey, Number One".
Just thought I'd talk to you guys.	Not now, maybe in the morning before work...
Mommy, are you and Daddy playing wheelbarrow?	J.D., when you were a kid, did you used to walk into your parent's room in the middle of the night?
Son, you go back to bed, I'm fixing Mommy's back.	Mommy, are you and Daddy playing wheelbarrow?
Yes, once.	Son, you go back to bed, I'm fixing Mommy's back.
I just can't stop thinking about Mr. Simon. I neglected him because he was such a jerk; and I'm just kinda worried that's what killed him.	What's up, Bambi?
You're right. Argh...thank you, Carla.	Well, could have been the neglect. Could have been the terminal cancer. Bambi, you're a conscientious doctor, you'd never do anything to hurt a patient, you know that.
Peace out, Turk!	Mmm-hmm.
We all know what goes on in the bedroom...	Night.
It's back?	Bambi. About yesterday.
Morbidity and Mortality conferences are just fun little meetings they have when they think you may be in any way responsible for a patient's death.	Uh, they want you to present Mr. Simon at a M and M conference this afternoon.
Is it hot in here? It's, like, it's hot!No, I'm fine.	Bambi. Don't be nervous.
Still, there's no reason to start obsessing. You did nothing wrong.	Okay.
Hey, Number One.	Hey, Number Two!
Okay, you have to stop doing that. Look, Number One	Hey, Number Two!
Okay, listen, I know we have the same name, and I feel very bad about that; but I can't spend every second of my day playing this game with you. I'm sorry, I...	Number Two!
I'm a kay? That was terrible; can I have a do-over?	Dr. Dorian, we have examined Aaron Simon's file. Before we begin, do you have any last words?
Actually, Sir, I I'm not sure how this whole thing usually works, but I was kinda hoping we could take a closer look at me.I've been sorta doubting my performance, and it would it would be really helpful if we could all talk about it. As a group.	Initially there were concerns that Mr. Simon may have been over-medicated. We have concluded that his pain control was both adequate and well within normal limits. Thank you for stopping by.
Bottom line, Dr. Kelso isn't looking to do me any favors. If I did something wrong, he'd call me on it...	Actually, Sir, I I'm not sure how this whole thing usually works, but I was kinda hoping we could take a closer look at me.I've been sorta doubting my performance, and it would it would be really helpful if we could all talk about it. As a group.
...then how come I still can't sleep?	Bottom line, Dr. Kelso isn't looking to do me any favors. If I did something wrong, he'd call me on it...
But I didn't overmedicate him!	Yep, looks like you screwed the pooch there, Tinkerbell.
Depends what you mean by different, I	Of course you didn't, and I always check your orders after you make them. But if you're wondering whether or not you treated Mr. Simon differently because he's a complete jerk, well... I think you know the answer to that one already, don't you?
Uh huh.	I have to warn you, I just got dumped in front of my ex-wife not ten minutes ago, okay Betty? It's always easy to treat the nice ones nice, isn't it?
You know, it's, uh it's barely misting out...	But your drug addicts, your child abusers, your garden-variety jerks... Man.
Mine too!	It's my hair, if it even gets damp, it frizzes out and becomes wildly unmanageable.
Hey, Number One. How you doing, man?	Hey, Number Two!
I guess there's good and bad in all of us.	Hey, Number One. How you doing, man?
What!?	Bambi.
Come on, what right do they have to be so damn mopey?	Mm-mm. Mm-mm.
And that’s when Elliot said something that explained everything.	Come on, what right do they have to be so damn mopey?
Oh, I am so sorry.	Our parents are coming.
I could tell my friends were pretty upset. Still, there was a bright side....	Oh, I am so sorry.
It’s all right.	I could tell my friends were pretty upset. Still, there was a bright side....
...I knew I could make it worse.	It’s all right.
You missed a spot!	...I knew I could make it worse.
I like the pictures.	You know, you can help. You can't even hear the television!
If I believed in karma, I might be a little more cautious about giving these guys a hard time...	I like the pictures.
Hey, Dad. No, no, nothing. Turk and Elliot are freaking out because their parents are coming to visit.	If I believed in karma, I might be a little more cautious about giving these guys a hard time...
But karma doesn't scare me!	Hey, Dad. No, no, nothing. Turk and Elliot are freaking out because their parents are coming to visit.
No, no, no, no, it hasn't been that long since you and I saw each other.Dad...	But karma doesn't scare me!
My mom and dad got divorced when I was seven. I know that's not so unusual but even though everyone's relationship with their father seems different, mine always seemed *very* different.	Oh, get some chips!Wowzer! Rowdy's a boy dog.
Dad, please!	God, I'd like to take a run at her. Would you take a look at her rack?
Okay, you know, I think I'm going to hit the sack before I get even more uncomfortable.	That is correct, Christopher.
There it is!	You know, your mother had a beautiful bosom.
Oh, my God! Dad!	Fire in the hole!
That was a nice moment.	Count it!
I guess everyone's parents drive them crazy.	That was a nice moment.
Parents have a way of making their children regress.	Mmm-hmmm.
Well, sort of. Elliot and Turk wrote this paper and then my dad decided "I want to come, too!"	What in the hell is this? Parents weekend?
Yeah...	Look, Reba, if I ask you a question that doesn't specifically deal with a medical issue, you can bet your powdered bottom that I don't want you to answer. Do you understand?
Ooo! Ooo!	It's like... working with a monkey!
Nothing.	What?
Can I help you, sir? Sir?	So, uh, how long are you guys staying?
Excuse me?	You can help me by minding your own damn business!
Nice meeting you.	Oh, aggressive, huh? Do you really want to get it on with me, Pipsqueak? Because if you do, I guarantee it'll be the last stupid thing you ever do on God's green earth.
What the hell was that about?	Nice meeting you.
He can't be that mad. We both know that even though residents are supposed to teach you, they really only show up when they want something.	This is your basic arthrocentesis, there, Newbie. Your resident should've showed you how to do this a long time ago.
Actually, I	Hey, I have to give the med students a lecture on heart murmurs tomorrow. Could you cover for me?
That sucks. I totally wanted to spend some time with my dad tomorrow.	Thanks, man.
What do you mean?	Then take him?
I don't I don't think you really get my dad. He's not really interested in my work. He's more like a buddy.	Uh, I don't know, secure a vehicle of some kind car, balloon, tricycle and transport your father from wherever he is to where you're going to be.
The thing is, I don't really need a buddy. What I need is a father.	Ohhh-kay, that was my mistake. Here I engaged you and gave you the impression that I actually care which is just so wrong! God!
I have testicles.He's he's a kidder! Heh.	Well, you definitely need something. Um, maybe a backbone, or perhaps some testicles. At the very least, a pillow that you could carry around the hospital and just cry your sad eyes out into whenever drama occures.
What? Nobody knows that.	What is the mechanism of cheyne-stokes respiration in systolic dysfunction?
If that's not saying, "I love you and I'm proud of you," I'm not really sure what is.	Can you believe my dad winked at me?
And that's when I decided to take a chance.	I know! Lemme tell ya, there are no gratuitous winks in the Reid household. It's like...
That means a lot, Dad.	Are you kidding? I'd love to come to your heart murmur lecture! I'm a big fan of those things!
Hi, Ms. Turk.	Thank you.
Well, uhh, umm...	John Dorian, get over here.
Well, remember on Thanksgiving when I said your turkey was dry and you picked me up and shook me?	After all these years, are you still afraid of me?
And that's when it happened.	I know! It kills me!
That's when Carla realized she was exactly like Turk's mom.	Make a decision!
But Dad, you sell office supplies.	Work is great, Johnny. I like to believe that I'm selling dreams.
I always thought parents were like tornadoes.They blow into town and devastate everything in their path.	Yeah, I prefer to call them dreams. I'm gonna-I'm gonna steal another Jell-o.
There's no food on your tray.	Hi...
But it's different for me.	Oh.
No.	How you doin', Elliot?Great talk. Uh, anyway, Johnny, I was talking to my buddy Jake this afternoon. You remember my buddy Jake?
Right!	Well, anwyay, Jake's my buddy and he's leaving the country for who knows how long so I thought I might get out of here tomorrow afternoon and go catch up with him which would mean I'd miss your thing but I wouldn't know what I was hearing anyway. Right?
I think what surprised me the most was that I was actually surprised.	Right!
I probably should have woken him up to say good-bye, considering he'd be gone before I got home. I told myself I wanted to let the old guy get some sleep but even I didn't believe that.	You still talking to yourself? I thought you'd outgrow that by now.
Yeah, I'm not that busy.	Yo, J.D., you wanna grab a bite with us tonight after Elliot and I do our presentation?
I meant that later I'm not that busy	Well, if you're not that busy, then you have time to do this discharge summary for me.
Arrrrgh!	Fantastic!
What is with parents anyway? Why is it so easy for them to make us feel bad?	Fine.One...
My dad flaked on me again.	Now, you've got to at least try and pace yourself, Newbie, otherwise sure as shootin' you're going to burn out. Come.Oh, I heard the sad sigh, I see your shoulders are slumped, and I'm aware that you have some whiny-ass problem that you want to talk to me about because you probably think it'd be cathartic to get it the hell off your chest but believe me it won't be. What you've got to do, for me, is the healthy thing. Keep all of your feelings bottled up inside where they *so* belong!
What? No!	I'm sorry, um, you're not on drugs, are you?
I skipped lunch but I've been snacking all day.	Are you in jail? Have you been beaten? Are you malnourished?
Well, he did some considerable emotional damage, so...	You are, in fact, a perfectly healthy twenty-six-year-old doctor who keeps crying about how horrible his father was.
Part of me thought Cox was wrong and I had every reason to be angry with my father.	Oh, mama!
If it's okay with you, we just won't talk right now. Got a needle. Need to focus.	So... how's it going down there?
But then I stopped thinking of my dad as a father, and started thinking of him as a man. And I realized some things that deep down I probably always knew. Like, maybe he wasn't crashing on my couch to spend more quality time with me but because he couldn't afford a hotel room.And maybe he wasn't going to see his buddy Jake to catch up, but because Jake was someone he might be able to sell something to and he really needs a sale.And maybe the truth is, he's just a middle-aged lonely guy trying to get by and it sure would be nice if someone would give him a break once and a while.	If it's okay with you, we just won't talk right now. Got a needle. Need to focus.
Hey, Dad.	But then I stopped thinking of my dad as a father, and started thinking of him as a man. And I realized some things that deep down I probably always knew. Like, maybe he wasn't crashing on my couch to spend more quality time with me but because he couldn't afford a hotel room.And maybe he wasn't going to see his buddy Jake to catch up, but because Jake was someone he might be able to sell something to and he really needs a sale.And maybe the truth is, he's just a middle-aged lonely guy trying to get by and it sure would be nice if someone would give him a break once and a while.
You know, I did, but I got someone to cover for me because I wanted to make sure I caught you and let you know how cool it was to see you.	Hey, there he is! I thought you had to work all day.
Yeah.	Really?
That would be really great.	Well... Well, listen, I, um, you know, I have to travel a lot lately so I'm sure I'll be back in this region again soon. I could swing back out to see you.
Great.	Great.
I see you've been taking advantage of the farting policy.	Great. I'd be happy to see you.
I'm not gonna pull your finger!	Hey, pull my finger!
Maybe the mistake we make is thinking our parents will change.And maybe they did a better job than we give them credit for.And maybe there, amid all the crap they dumped on us, are some things worth keeping. Like a passion for something you never knew you had. Or the ability to constantly surround yourself with people who love you.	Oh, me neither, sir.Oh, they were all out.Placement of an iliac stent when hemodynamic results of PTA are inadequate or primary stent placement at the initial time of PTA...
And "Z" is for the Zs you'll be getting, now that you know heart murmurs from "A" to "Z."What are you doing here?	Thank you very much, folks. We've been great.
I know, but did you see "A" through "K"? 'Cause I did a really cool thing with "A" through "K."	Yeah, I just figured I'd come down and check it out. You know, see how you were doing. And for the record, that was atrocious. I mean, downright abysmal.
Tell me about it.	Yup.Heh, heh. Parents, huh?
I missed this.	Yeah, what's that, a shot at my dad? That's stepping over the line, pal.
Come on, man, let's get out of here. There's something to do, there's......film festivals, there's theatre, there's museums. Let's get out and get some culture! How 'bout some of that!	Nothing.... Nothing.
Turk turns everything in to a competition. It can get kind of annoying.	Let's put Rowdy on top of the TV and see which one of us can throw a hat on him first.
What?	Let's play Steak.
No, see, I paid seventeen dollars for this steak, and I'm not gonna....You want some?	Steak: The first person to finish their steak is the winner of Steak.
The problem is, these stupid games always seem to end the same way.	Uh-huh.Ankles is a simple game: The first one to get embarrassed and pull up their scrubs loses.
I'm your beeyotch.	HA! HahahahaHA! Say it!Say it!Just say it.
It wasn't a race! Okay, fine! Let's just play, uh, let's play Tip Over the Trash-Can! Okay?I win!I...I win.	Good, clean win, T-Dog. Now, let's go down to the Caf and get our doughnut on.
Yeah.	Can I play?
Yeah.	This is fun.
How is that helpful? Do you not get the whole doctor-patient relationship thing? We're supposed to be a team.	You may have whatever you want, there, cowboy.
Doug. Look away!	Ahhh, sorry to interrupt you, there, Bobbo, but I gotta ask you a quick question. Now, when you were born nay, "spawned" by the Dark Prince himself, did that rat-bastard forget to give you a hug before he sent you along your way? Because you can't just let two good nurses go on account of feeling small and insignificant. And, besides, with your money, you oughtta able to keep a little man tucked away in the closet and bring him out whenever you want to knock him around, huh?As you were.
Okay, Mr. Hoffner, here's your surgical consult. But, I have to warn you, he's gonna agree with the medical course I set out for you. Now then, Dr. Turk, why don't you tell Mr. Hoffner whether or not you think he should have surgery.	I'd like chicken.
Okay, the important thing to remember is that we're both professionals, and we should behave as such in front of the patient.	I think he should have the surgery.
You can't consider this a reoccurrence! He was under-treated last time!	And no girlfriends. It's a...gassy disease.
That's why we're gonna give him frequent colonoscopies!	He's high-risk for colon cancer!
I can't believe you're turning this into a competition. Luckily, it's not up to you it's up to Mr. Hoffner.	How frequent?
You're getting a meat plate for dinner!	I'm gonna go with surgery.
Aaaaaaaaaaaagggggggghhhhhhhhhh!	"A surgeon and a doc, above...it...all!"
I'm your beeyotch.	Say it!
I AM!	Oh, it's okay, Jumbo; it's okay! Now, who's my big boy? Oh, who's my big boy!
I am!	Oh, you're my big boy!
I'm a big	You're my big boy!
What's up, Benedict.	Rough all over. So don't talk to me, Joanie, just go talk to your patient. Go!
Benedict Arnold?	What?
Oh yeah?	That's just the lamest smack-talk I've ever heard in my life.
Well, that's not what the red-coats thought!	Yeah.
So, what's up, man? You're gonna go under the knife just 'cause that guy told you to?	Wow! You went Colonial on his ass!
Like who?	No, I spoke to some other people.
He's a janitor!	All fixed.
What???	Look, I'm just a janitor, I don't know much, but I do know this: You need surgery.
Doug, for God's sakes!	Dr. Kelso.... I'm sorry. I was wrong.
I, too, decided it was time to act like the most confident girl in the room, and face things head-on.	No problem!
That was my patient, Turk! I brought you in as my friend, and you're so damn competitive you just go ahead and take him from me? That sucks!	I, too, decided it was time to act like the most confident girl in the room, and face things head-on.
Excuse me?	Tough.
Oh, you know, that sounds like a great friendship.	You're damn right I'm competitive. See, that's what makes me a good doctor I want to win at everything every day, and you should, too.
He never got the concept of the team.	Dude, if you don't wanna play Steak again, that's fine, all right? This has nothing to do with friendship, and you know it! So stop blaming me, because the truth is you're angry at yourself 'cause you couldn't get the guy to believe in you!
I win at Cookie.	I know. Have a cookie, man.
When most of your time is spent fighting a constant stream of death and illness, you'll look for any victory you can get, even if it's just a victory over your own self-doubt.	Yes.
Of course, sometimes, your ego leads you into battles you can't possibly win.And sometimes, you have to admit that feeling competitive isn't a bad thing. Because, if you truly believe you're right, you have to be willing to fight for it.	WOO! I got a date. I got a date.
Listen, I know what I'm telling you is the right way to go, and I am not gonna take "no" for an answer. So, what do you say?	Of course, sometimes, your ego leads you into battles you can't possibly win.And sometimes, you have to admit that feeling competitive isn't a bad thing. Because, if you truly believe you're right, you have to be willing to fight for it.
What?	You won. Now beat it.
Bottom line, when the stakes are high, you have to go for the win. You know, as long as you don't get caught up in the petty stuff.	Go.Let's get you some sherbet!
One of the best things about women is that they're so unpredictable. Of course, that can really bite you in the ass.	Yep. Right.
Look! It's got a letter!	Boink. Who's your new friend?
And I was having problems with my lady, too.	"Eat your doughnut."
Nurse Roberts is gonna take a blood sample so we can check your Hepatitis viral load absolutely no big deal.	Can we get a move on, Q-Tip? I got tickets to "Bring in Da Noise, Bring in Da Funk" and I don't want to miss The Noise.
No big deal at all!	Nurse Roberts is gonna take a blood sample so we can check your Hepatitis viral load absolutely no big deal.
Could somebody get that?	No big deal at all!
In my arm.	Hello! Dr. Dorian, I understand you might need a refresher course in hospital safety. This is a syringe. When filled with infected blood, where is the last place you might want to stick it?
What's this?	Just get him to sign the damn paper!
Thanks. That's, uh, that's comforting.	If you should develop any symptoms that suggest you may have contracted Hepatitis B, this form simply states the hospital is not responsible.
Hey, here's your pen.	Um, I'm I'm sure you'll be fine.
Elliot got some booty! Some booty! Some what? What? Elliot got some	Ahhh, the Walk of Shame. All you can really hope for is a supportive friend to help you get through it.
What? It's my "Elliot Got Some Booty" dance.Oh, come on! Elliot, it's not like anybody else knows.	Stop it!
Somebody got some a action!	Well?
She got some aaaction!Come on...it's funny!	Ugh!
The curse of the scrubs machine one of the hospital's most annoying money savers. The only way to get clean scrubs out is to put dirty ones in.	I can't find my scrubs top! I must have left it at Sean's.
How can I help?	The curse of the scrubs machine one of the hospital's most annoying money savers. The only way to get clean scrubs out is to put dirty ones in.
How else can I help?	Give me your shirt.
Okay.	Just go!
Let me guess golf cart accident?Playing.	All four of us are doctors.
Oh, I got hit with the business end of one of my Hep-B patients' syringes last night.	So, junior, what's with the antecubital veinal puncture?
He's okay, right?	I once had a colleague who got bit by a patient with rabies.
Well, I'll I'll be okay.	Oh, but Hepatitis! Scary stuff.
I, uh, I have to go check on a...thing.	Ohhh...maybe!
Good news, friend. The doctor is in!	I don't have anyone to talk to.
I don't know anything about those.You have to read "Tales of the Fourth Grade Nothing" completely turned high school around for me!	I asked for a newspaper, and they gave me a bunch of Judy Bloom books from Pediatrics.
You see, nobody keeps John Dorian from moving on. Nobody!	I don't know anything about those.You have to read "Tales of the Fourth Grade Nothing" completely turned high school around for me!
You know, I could be really sick here! Could you be nice for once in your life?	We've secretly replaced this doctor's blood with Hepatitis blood. Let's see if he notices!
I know.	It's Ted.
'Kay. Thank you.	Sure, Bambi, no problem.
Aw, John Dorian's a wuss.	'Kay. Thank you.
I would, but I don't got no mojo workin'. Right with the mojo I, um, you know, I have to go lecture some med students on myocardial infarction....	And why can't you do it?
What?	Sure.
What's wrong with them?	I'll take him. You just gotta grab my three gomers in 408.
And...?	Hey, I, uh, thought about what you said before and, um, you're right I haven't been that nice.
I love that!	Doctor.
You knew the answer to that.	HMG-CoA reductase inhibitor?
What's your problem?	Shut up!
No. Oh, come on, I have problems, too!	This stuff doesn't come as easy to me as it does for you, okay? I study every night, and you know what else I have to do to try and remember all this crap? I tape-record myself saying it, and then I listen to myself over and over. Do you have any idea how annoying it is to hear myself go on and on and on...and on...and on...?
I traded my meningitis patient just traded him, like a baseball card. And you wanna know why? Because I was afraid of him!I'm a doctor who's afraid of sick people! You wanna take a picture with me?	Oh?
It's a weird feeling when you realize you've lost the respect of four people all at once. But it's nothing compared to losing respect for yourself.	I traded my meningitis patient just traded him, like a baseball card. And you wanna know why? Because I was afraid of him!I'm a doctor who's afraid of sick people! You wanna take a picture with me?
Why did you let me switch patients with you?	No. Hey, do you know any women who hate themselves enough to actually date me?
No, see, you're full of it you knew I was scared, why didn't you just tell me to go in there and deal with it?	Because you asked me to. Oh, and because of your puppy-dog eyes.
Thank you. Now, can I have my patient back?	Well, gosh, Newbie, I don't know what it was about that day. Maybe I hadn't had enough sleep. Maybe my mind was on other things. Maybe I didn't have enough fiber in my diet, and I failed to do my morning business. I don't know what the hell it was, but the bottom line is I didn't feel like spelling it out for you. And I know, I know, you want your little speech, and that's fine because here it is: You're a doctor. You might get sick. Get over it.
Fantastic.	No. Because, aside from his weird Judy Bloom obsession, I like him. You will be de-lousing Mr. Schaffer guy's like fly-paper!
You know, when you start med school they warn you that you're gonna have to make sacrifices.... But I guess that means different things to different people.	Oh, and, Belinda? D'you know what else is real contagious?A big ol' smile!
Like giving up something you really want now for something you've wanted your whole life.Or spending less time on yourself so you can spend time with someone you really love.	Elliot exits on her way home. Scattered along the wheelchair ramp are the sad remnants of Sean's bouquet.
At some point, you might even have to give up your own sense of safety and well-being.But after a while, it doesn't feel like you're giving up anything at all.	J.D. faces the "Contagious" sign.
You know what? Let's talk "Super Fudge."	Hey, Doc.
I had this patient today, thought he had blood in his stool? Turned out to be pimento!	Is that good cocktail conversation?
What?	Mmgh.
'Boys on the Side'; 'The Doors'; and as for Miss Connolly: topless in 'Inventing the Abbotts', bottomless in 'Requiem for a Dream', and in 'The Hot Spot', you gotta love her frontal and...tush-tush!	Drew Barrymore, Meg Ryan, _and_ Jennifer Connolly?
That's the thing about best friends they just get each other.	You da man.
Neat hug!	Yeah, I scored this big restoration job.So, who's the, uh, fan club?
So, what's that, like your lucky board...or something?	Newbie, no one likes a lookie-loo. Not now, not ever.
Oh, my God, that's disgusting!	Oh, that? No, it's a nail-gun accident.
Oh....	Yeah, yeah!
Ow.	What about the tough guy?
Oh, please don't.	Bye-bye!
I was _surprised_. I don't like surprises.Oh, my goodness!	Well, it's okay you're just a doctor, you shouldn't have to _look_ at stuff like that.
Ooh!	Pictures capture moments in time.
You're a little weird, aren't you.	When they're posed, they're not real. You know, I hate that whole, like, "gneen!" thing. That's why, at a party, you'll see me in the bushes with my camera.
You know, we don't it says it right there on the box.	Wow, re-wrap a dirty bandage. It's phenomenal how you doctors keep all this stuff in your head.
I guess sibling rivalry never goes away. No matter how old you get.	Ugh, you're so...
Me neither!	Me neither.
Yeah, we were....	When spoken to, Newbie. When spoken to. Here, I thought we were clear on that one!
You know, he's never asked me to grab a beer. But I don't care....	Hey, Ben, you realize we haven't grabbed a beer in a couple of weeks what's that about?
Oh, God, yes.To buddies!	Newbie? Would you like to come?
Aww! Good! At last, a worthy foe!	Never naked, but just hand-to-nipple in 'How to Make an American Quilt'.
"Chalk boy"....	Oh, chalk boy....
"Arrr! There's a _____, Newbie! Break it up! "	but it just comes off sounding like a cartoon pirate. "Arrr, Gladys! Chalk it! Don't pleasure it! Arrr!"
Yeah, I'm d I'm done.	Are ya done?
Actually, Ben has been sneaking me beers all night, and I'm quite drunk.	All right, Clara, you can go ahead and order yourself a Cosmopolitan; we'll just grab a cab home.
One of the things that sucks about being a doctor is that you never miss a red flag.	I dunno. Sorta weird, 'cause I cut myself shaving last week and it wouldn't stop bleeding.
I'm with you, Big Dog.	I was a heartbeat away from giving an appendix patient a crotch lobotomy! If I do my best, and I lose a patient? You know what, I can live with that. But if a clerical error is the reason why a guy's walking around here with only the lonely?Well, damn! That don't sit well with the Big Dog!
I was paged because Ben's blood-work was finally ready. Unfortunately, the chart wasn't in the out-box. I'd knock, but the hematopathologist is the meanest, intern-hatingest monster in this hospital.	I'm with you, Big Dog.
The truth is, the hematopathologist was the last person in this hospital I wanted to deal with.	Don't be a chicken. If you need something, just go in and get it.Uh, excuse me, sir?Aggghhh! I'll...come back...later.
OH! Why do you have to jump out and scare me all the time!?	The truth is, the hematopathologist was the last person in this hospital I wanted to deal with.
You're kidding, right?	I don't jump out and scare you! I follow you around all day! I only got about an hour-and-a-half worth of work around here, and the rest of the time I track you...like an animal.
What? How did that get there? Come on, good news.	Haha.... I don't know? Am I? Hmm....
Leukemia.	Hey, Bambi.Are you okay?
No.	Leukemia.
Wait a sec. First Turk's patient, then Elliot's.... This is a mistake, I just I feel it in my gut I'm sure of it!	Oh, Janice! Are those the test results we've been waiting for?
Uhhh, no, this is someth You know that lab is just it's backed up again? And so I'm gonna it's you know, a little while.	Hellooo? Janice?
Turk, I can fight my own battles, man.	Yeah, I know who screwed this up. It's that same lazy-ass admitting nurse that mixed up my files. And there she is! I'm gonna go get her.
No, I lost my thesaurus.	You're not gonna write her one of your angry notes, are you? 'Cause she doesn't deserve it.
Hello......Nancy. Hi, howYeah, could you just check it's a very important file that I	Okay, well you go get her, then!
She said "in a minute," so I'm sure that in a minuteOh, now it's two! You're in.	Tag me in. I am oiled up and ready to go!
You said "drop the ball."	Thank you....Look here: My friend needs you to check on the Ben Sullivan file, and you're gonna do it right now. Why? Because you're not gonna drop the ball like you did on my patient.
Rapido!	I know! That was totally by accident!Chop-chop, Nancy!
No, sir, I just	Hello, Dr. Dorian. Let's take a ride.So.... Word has it you've been doing a little fishing in these here parts trying to catch yourself a big ol' prize-winning mistake.
Franklyn!Can you help me out here?	Okay, I make lots of mistakes. But I really have to go to the bathroom right now, and after that I'm going to lunch.
Can you do that?	What do you want me to do, cry?
Quickly! Quickly!	Sure. Gimme a second to think of something sad.
I'm sorry, I shouldn't even put you in this position. I	Okay, that's not helping!
Stay with it, Elliot....	Oh, there we go. You know, another man in my life trying to protect me.
Good, Elliot, this is good....	I mean, everyone thinks that I'm just this little girl who can't take any criticism because her mom and dad give her nothing but criticism.
...become your mother....	And look where it's gotten me! You know, I'm 26, single, and all I do is work! You know, I may as well just give up the idea of being a healthy and...happy relationship, and just go ahead and.... And.... And....
The admissions clerk office, he didn't make a mistake, and the lab technician didn't make a mistake. Maybe I'm just an idiot, I don't know.	Because so far, no one's screwed up.
Excuse me?	Let me ask you something.You're kind of a boob guy, right?
