respond	context_0	context_1	context_2
Quickly! Quickly!	Sure. Gimme a second to think of something sad.	Can you do that?	What do you want me to do, cry?
I'm sorry, I shouldn't even put you in this position. I	Okay, that's not helping!	Quickly! Quickly!	Sure. Gimme a second to think of something sad.
Stay with it, Elliot....	Oh, there we go. You know, another man in my life trying to protect me.	I'm sorry, I shouldn't even put you in this position. I	Okay, that's not helping!
Good, Elliot, this is good....	I mean, everyone thinks that I'm just this little girl who can't take any criticism because her mom and dad give her nothing but criticism.	Stay with it, Elliot....	Oh, there we go. You know, another man in my life trying to protect me.
...become your mother....	And look where it's gotten me! You know, I'm 26, single, and all I do is work! You know, I may as well just give up the idea of being a healthy and...happy relationship, and just go ahead and.... And.... And....	Good, Elliot, this is good....	I mean, everyone thinks that I'm just this little girl who can't take any criticism because her mom and dad give her nothing but criticism.
I think this is the most uncomfortable conversation I've ever had!	I can tell, because I've seen you look at mine. Um, not in a sleazy way, or anything....	Excuse me?	Let me ask you something.You're kind of a boob guy, right?
I stand corrected! You're my best friend's girlfriend!	You wanna touch one?	I think this is the most uncomfortable conversation I've ever had!	I can tell, because I've seen you look at mine. Um, not in a sleazy way, or anything....
I'm afraid so....	Ah, so your instinct is to pass on this fantastic one-time offer?	I stand corrected! You're my best friend's girlfriend!	You wanna touch one?
Oh, sorry.	I'm up here, Bambi.	I'm afraid so....	Ah, so your instinct is to pass on this fantastic one-time offer?
Well, what am I supposed to do, though?	See, with Ben it's one of two things: Either your instincts are right, or your brain is trying to protect you from something. I'd say you have pretty good instincts. Trust them.	Oh, sorry.	I'm up here, Bambi.
The Hematopathologist.	You know there's only one more person to talk to.	Well, what am I supposed to do, though?	See, with Ben it's one of two things: Either your instincts are right, or your brain is trying to protect you from something. I'd say you have pretty good instincts. Trust them.
You go by your first name?	Call me Dr. Bob.	Hello?	The Hematopathologist.
"Fred Bob"?	No, first name's Fred.	You go by your first name?	Call me Dr. Bob.
Hi, I w I was hoping that you could recheck Ben Sullivan's blood smear.	What can I do you for?	"Fred Bob"?	No, first name's Fred.
I kinda wish you did.	Well, that depends, young man. Do you actually think I made a mistake, or do you just wish I did?	Hi, I w I was hoping that you could recheck Ben Sullivan's blood smear.	What can I do you for?
Oh, my God....	Hey! I wanted to ask you, um, how come this guy's always, like, following you in the pictures?	No, we wouldn't.	It works for me.Listen, um, you guys wouldn't be keeping me here if there wasn't something potentially wrong with me, would you?
Yeah.	Him.You want to see the rest of the pictures I took today?	Oh, my God....	Hey! I wanted to ask you, um, how come this guy's always, like, following you in the pictures?
These are good, man!Ben, good news, man!	Look at that one.	Yeah.	Him.You want to see the rest of the pictures I took today?
What do you mean?	Come on, J.D. None of this is real. You know that.	Wait, why would you want a picture like that? I thought you said that posed pictures aren't real?	After all, he had only been here one day, and there wasn't even anything wrong with him.
...Yeah....	Well, that sucks.	Uh, yeah.Ben, you have leukemia.	Let's try this again: Are those the test results?
How'd you know my middle name?	John Michael Dorian.	Ah, come on, I'm sure you don't know my name, so	I know.
Today seems like a good day to hide out in one of my patient's rooms.	Because I care!	How'd you know my middle name?	John Michael Dorian.
Unless, of course, my patient is missing.	You, my friend, are an incompetent fool.	Today seems like a good day to hide out in one of my patient's rooms.	Because I care!
I don't	Where's my brother?	Unless, of course, my patient is missing.	You, my friend, are an incompetent fool.
I... think it's great that you're going back to school!	Oh, oh, if you say "I don't know," I'll show you what I learned last week in my crotch-punching class!	I don't	Where's my brother?
Jordan, he found out he had leukemia yesterday. It's life-changing news. You can't be surprised if he's a little depressed.	Why would he wander off? Oh! Maybe he went to a real hospital!	I... think it's great that you're going back to school!	Oh, oh, if you say "I don't know," I'll show you what I learned last week in my crotch-punching class!
Ben, put the small children down.	Hey, Doc, this guy's got something on his shoulder you might want to take a look at!	Jordan, he found out he had leukemia yesterday. It's life-changing news. You can't be surprised if he's a little depressed.	Why would he wander off? Oh! Maybe he went to a real hospital!
No, Ben. Ben! Okay, okay...	Anybody missing one of these?	Ben, put the small children down.	Hey, Doc, this guy's got something on his shoulder you might want to take a look at!
No, Ben! Ben, seriously! Ben! Not funny! Ben, stop! Ben, put me down. Ben! Fasterrrr! Whooooooo! Ha ha ha ha ha! Eeeee-eagle! Whooo hoooo!	You heard the good doctor. Come on, you'll have to sit this one out. You know, my hands are free which leaves me to do... this!	No, Ben. Ben! Okay, okay...	Anybody missing one of these?
I'm a good intern, but when you're dealing with disease and family, an intern just doesn't cut it. What you need......Is a hero.	I swear, if you don't start taking this seriously...	I don't like that much freedom down there. Makes me tingle in my giblets.	Ha ha, the sweatpants years.
But I didn't even say anything.	Shut up. Shut up. And definitely shut up.	I'm a good intern, but when you're dealing with disease and family, an intern just doesn't cut it. What you need......Is a hero.	I swear, if you don't start taking this seriously...
I hear you, Dr. Cox!	I know, but I enjoy saying it to you. Okay, here's the deal. If we're gonna beat this thing, and we damn sure are, we're gonna do it one way and one way only. We're gonna be a team! We're gonna be a team, team, team, team, team! You hear me?	But I didn't even say anything.	Shut up. Shut up. And definitely shut up.
I'm sorry. I got very excited. Go! Heh.	I am so not speaking to you, Rhonda, thank you!	I hear you, Dr. Cox!	I know, but I enjoy saying it to you. Okay, here's the deal. If we're gonna beat this thing, and we damn sure are, we're gonna do it one way and one way only. We're gonna be a team! We're gonna be a team, team, team, team, team! You hear me?
I didn't care about the abuse. The most amazing thing for me was to watch how Dr. Cox dealt with his friend. How he made him feel safe.	Congratulations! Your Dimaggio-like streak for saying nothing even remotely interesting is still alive and well!	Antonio played by the actor Tony Shalhoub. Also particularly fantastic in a film called "Big Night.""	"Wings." And shut up, I like the cab driver. He... slays me.
How could you possibly know that?	Your first kiss was with Sarah Briggs at the embarrassing age of sixteen. She wore a green turtleneck, and you wonder sometimes if she still thinks about you. I'm guessing no.	So you used your key to get into my personnel file. Big deal.	Your mother's maiden name is Turner.
Oh, I don't mind, I just	Well, you're just an absolute lamb but you don't have to do that.	Dr. Cox, Ben seemed pretty down after you left so I thought I could cover for you and you could go hang out with him.	The periampullary carcinoma patient had a failed palliatitive stenting of the common bile duct so this is what I want to do. I want to go ahead and prep him for a pyloris sparing pancreaticoduodenectomy. Thanks.What's up, T-Man?! Show The Todd some love!
It's funny how people handle bad news in different ways.Some people have a visceral reaction...	Newbie, stop!	Oh, I don't mind, I just	Well, you're just an absolute lamb but you don't have to do that.
Some people go into denial...	Time to get my soapy soap on!	It's funny how people handle bad news in different ways.Some people have a visceral reaction...	Newbie, stop!
And others...	No way.	Some people go into denial...	Time to get my soapy soap on!
...Others just walk away.Chemotherapy looks harmless, but it's really poison pumped directly into your veins.	What chance do you give a guy with Ben's blast percentage, huh? Twenty percent, thirty, maybe? You see, I can't handle that. I cannot. So, no thank you there, Johnny.	And others...	No way.
How are you doing this?	You like the way cashmere feels on your skin!	That's not uncommon.	You're afraid of escalators.
Look, Dr. Cox, I've been doing a lot of thinking and I honestly think that the only reason you're not down at that hospital right now is that you're afraid.	That's right! You run away! Run away from the truth!	How are you doing this?	You like the way cashmere feels on your skin!
You gotta get back in the game, Coxie!Okay, Coxie was a mistake. Pretend I didn't say Coxie.	I think you're right. I do. Partly because you've really... gotten to know me this year.But mostly it's because, well... I told you that I was afraid earlier today so please don't tell me that you've come here to reiterate things to me that I've already said because I know the things I've already said. In fact... I'm the one who said them.	Look, Dr. Cox, I've been doing a lot of thinking and I honestly think that the only reason you're not down at that hospital right now is that you're afraid.	That's right! You run away! Run away from the truth!
Look, it boggles my mind that you just bail on a patient!	Geeeet out.	You gotta get back in the game, Coxie!Okay, Coxie was a mistake. Pretend I didn't say Coxie.	I think you're right. I do. Partly because you've really... gotten to know me this year.But mostly it's because, well... I told you that I was afraid earlier today so please don't tell me that you've come here to reiterate things to me that I've already said because I know the things I've already said. In fact... I'm the one who said them.
I think one of the most universal human experiences is feeling alone. You'd never know it, but there's most likely tons of people feeling the exact same way.Maybe because you're feeling abandoned.Maybe because you realize that you aren't as self-sufficient as you thought.Maybe because you know you should've handled something differently.Or maybe because you aren't as good as you thought you were. Either way, when you hit that low point, you have a choice. You can either wallow in self-pity......Or you can suck it up. It's your call.	No. A patient is a stranger in a bed that you can distance yourself from whenever you need to. Ben is my friend and I'm going to try to get in there to visit him in the next couple of weeks but if I can't... that'll be very sad for me. But really... it will just mean that I'm human. Oh, and newbie? Please don't think that you have come here because Ben needs me. You're here because you're scared to death that you might have to rely on yourself for the first time ever and that... that is just the saddest thing of all.	Look, it boggles my mind that you just bail on a patient!	Geeeet out.
Well, thank God.	Bum bum bum... when criminals in this world appear and break the laws that they should fear / And frighten all who see or hear / The cry goes up both far and near / For Underdog! / Underdog / Underdog / Underdog / Speed of light, roar of thunder / Fight all who rob or plunder / Underdog! / Ahhhh! Underdog! Underdog!	As for me, I decided that if Dr. Cox couldn't do it, well then I would have to be the one there for Ben.	You're mean.
I guess he'll always be a hero to me.	Now unleash the dog of wonder / Tearing evil, spans asunder! / Underdog / Ahhhh, Underdog! / Underdog...	As for Ben, he actually responded to the chemo and went into remission. Hopefully, he won't be back, but who knows? Still, that's not what this story's about.It's about the day I realized that admitting we're not heroic is when we're the most heroic of all.	"Joy... and pain!" Here we go, here we go! "And sunshine..." What else? What else? "And rain!" Cut him up! Cut him up!
You know, I never woulda slept with you if you'd told me you were Dr. Cox's ex-wife.	We could shower together for old time's sake.	I haven't even showered yet.	You find it funny, Dr. Dorian? Why don't you tell me the EKG findings of Wolff-Parkinson-White syndrome?
Uhhh....	What was that, Newbie?	You know, I never woulda slept with you if you'd told me you were Dr. Cox's ex-wife.	We could shower together for old time's sake.
He likes Carla, anyway.	Relax. He doesn't know.	Uhhh....	What was that, Newbie?
I heard that!	I got Carla wrapped around my finger.	He likes Carla, anyway.	Relax. He doesn't know.
Nothing.	What are you guys talking about?	I heard that!	I got Carla wrapped around my finger.
Forget about it.	Thank you.	Nothing.	What are you guys talking about?
I don't know why my mind is all over the place. Maybe it's because today isn't just any other day; it's my last day as an intern.	I guess I don't fit in with your mirror friends. Enjoy.	All right, enough is enough!Oh!	That's just the kind of thing that can be construed as sexual harassment.You got a few hairs in the sink, there, huh? For God's sake, man, don't comb so hard.
Okay.	Come here!	Nuh-uh.	Haven't I?
Why is he so uptight today?	Despite the fact that when you wake up tomorrow morning you will be a resident, you'll still be the same excitable little girl that you are right now; the only difference will be that some sorry new intern will probably mistake you for somebody who actually knows something.	Okay.	Come here!
Oh, okay.	Hey, Perry.	Why is he so uptight today?	Despite the fact that when you wake up tomorrow morning you will be a resident, you'll still be the same excitable little girl that you are right now; the only difference will be that some sorry new intern will probably mistake you for somebody who actually knows something.
I agree with Laverne!	What?	I wish people would call me "tiger."	Careful, tiger. Careful.
I owe you.	But, J.D., I just	Thank you so much for taking Bober from me.	I was gonna say something, but, it turns out, he gave me a pretty good idea.
Or nothing, I'm on break - let's do it.	Or?	Look, we can stand here and argue all day about who screwed who	Hey, it was J.D.'s patient! I was just the middleman.... -Woman.... -Person.
Fine, loser gets Bober.	Okay, Rock-Paper-Scissors, right now.	Or nothing, I'm on break - let's do it.	Or?
I was half right.	Yeah. I'll be more than glad to help you, there, Charlotte.	And now, here it comes - the calling me a girl's name, the telling me not to waste my time....	So I thought if you looked at Mr. Bober's chart, and and you agreed with us, you might be able to, you know, pull some strings, er....
Are you dying?	Don't ever be afraid to come to me with stuff like that. The simple fact that you actually seem to give a crap is the reason I took an interest in you to begin with. It's why I trust you as a doctor. Hell, it's...it's why I trust you as a person.	W-well, th thank you!	I was half right.
Aw, just say it.	I've got a new shrink.	Are you dying?	Don't ever be afraid to come to me with stuff like that. The simple fact that you actually seem to give a crap is the reason I took an interest in you to begin with. It's why I trust you as a doctor. Hell, it's...it's why I trust you as a person.
And I just wanna know...if I can buy you dinner.	Oh, no, no, no...no.	You know, Dr. Cox, I wanna thank you for this whole year	Aw, just say it.
Great! I'm off in, like, a half hour	That'd be terrific.	And I just wanna know...if I can buy you dinner.	Oh, no, no, no...no.
Would have been nice.	Oh, no. Here, I was led to believe that you were doing a gift certificate kind of thing. But, to sit and eat...with you, that's-that's just...that's crazy talk! I have half a mind to issue you a drug test. I mean, come on, what'd I sign up for	Great! I'm off in, like, a half hour	That'd be terrific.
Yep. One big, happy family.	I slept with him... and it was good - oh! How's that for stirring things up? Have a great summer, everyone. Bye!	Oh, please God, no.	Carla, my ex-husband is in love with you. It's true. Ask your boyfriend, he knows; he and Perry talk about it all the time. I don't know why you haven't mentioned this to her! Perhaps you're afraid of something? Huh. And Bob? When are you gonna tell Perry that that promotion you're making him jump through hoops for? was filled months ago! It just seems wrong. Which brings us to Twinkie. If you don't have the courage to tell your 'colleague' Dr. Dorian that you're still crazy about him, I'm gonna go ahead and do it for ya, 'cause that's what friends do. Yeah! And finally, Perry, you are not gonna believe what happened the first time I met your little protégé, here....
Yeah, but with the head-to-foot alignment, it's just there's no way for them to lock in.	Dude, either way the naughty bits are still in the middle.	This is unacceptable. You said we were gonna sleep head-to-foot.	Baby, why you have to be so cranky in the morning?
Ugh. I'm not!Ready to go?Morning, boy.	Could you be more homophobic?	Yeah, but with the head-to-foot alignment, it's just there's no way for them to lock in.	Dude, either way the naughty bits are still in the middle.
Rowdy, no.	I can't remember the last time I was in this foul a mood.	Ugh. I'm not!Ready to go?Morning, boy.	Could you be more homophobic?
I'm cool. I'm cool.	Everything's gonna be fine. Okay? Just be cool.	I had my shoes on, it would have been impossible to lock in.	Well, just remember what I said to you this morning in bed.
What?	I can't get to sleep / I think about the implications....	I'm cool. I'm cool.	Everything's gonna be fine. Okay? Just be cool.
Just keep it down.Shh!	Come back another day....	Oh, God!	Night after night my heartbeat shows the fear....Ghosts appear and fade away....
Uhhh....	I can't get to sleep / I think about the implications....Of diving in too deep / And possibly the complications....	Just keep it down.Shh!	Come back another day....
Nightie-night.	Night after night my heartbeat shows the fear....Ghosts appear and fade away.......Ghosts appear and fade away.....	Hey, Elliot....	It's just overkill.Day after day it reappears....
What the hell?	Good morning!	Steady now.... Be brave.... Don't cry.	And just like that, it was my turn to face the music.
Woo!	Dr. Dorian.	What the hell?	Good morning!
Ooh! Is that my new nickname? 'Cause, you know, I actually thought people were gonna start calling me that in high school when I was in our production of 'The Wiz'....Yeah, it was the sort of the "hip" version of 'The Wizard of Oz'.... Nipsey Russell played the TinMan? "Come on and ease on down, ease on down the road!" Remember that? No? Well, anyway, you know, kids can be mean and everyone just started calling me "Dorothy." ...High school was hard....	Here you go, whiz-kid.	Woo!	Dr. Dorian.
Uh...yeah, sir, I have a full patient load; I don't understand that you just drop this guy in my lap and expect me to make him a top priority.	Oh, I'm sorry, sport; I was thinking about soup. Now, Mr. Zerbo was initially admitted with a high fever and suspected meningitis; but, both the NCT and the lumbar puncture came back negative.	Ooh! Is that my new nickname? 'Cause, you know, I actually thought people were gonna start calling me that in high school when I was in our production of 'The Wiz'....Yeah, it was the sort of the "hip" version of 'The Wizard of Oz'.... Nipsey Russell played the TinMan? "Come on and ease on down, ease on down the road!" Remember that? No? Well, anyway, you know, kids can be mean and everyone just started calling me "Dorothy." ...High school was hard....	Here you go, whiz-kid.
Neurology, rheumatology, hematology.... This guy's been turfed to every service in the hospital, no one knows what's wrong with him, what do you want me to do?	You want me to say "ta da!" so it seems more like a trick? Mr. Zerbo back there is a major hospital benefactor. And, by golly, you know it's a lot harder to write a big, fat check if you're dead.	Uh...yeah, sir, I have a full patient load; I don't understand that you just drop this guy in my lap and expect me to make him a top priority.	Oh, I'm sorry, sport; I was thinking about soup. Now, Mr. Zerbo was initially admitted with a high fever and suspected meningitis; but, both the NCT and the lumbar puncture came back negative.
Dr. Kelso....	I hope it's navy bean today.	Neurology, rheumatology, hematology.... This guy's been turfed to every service in the hospital, no one knows what's wrong with him, what do you want me to do?	You want me to say "ta da!" so it seems more like a trick? Mr. Zerbo back there is a major hospital benefactor. And, by golly, you know it's a lot harder to write a big, fat check if you're dead.
'Kay, fine! You know.... After all, I'm I'm the Whiz Kid!	Well, gee, sport! I would say you should stop whining, find out what's wrong with him, and treat it; or you can be damn sure I'm going to give you something to whine about.	Dr. Kelso....	I hope it's navy bean today.
Who knows.... Maybe he just decided to let the whole ex-wife thing go.	Dr. Cox, I have this, uh, patient, Mr. Zerbo, I can't quite	I had planned to avoid Dr. Cox all day; but, unfortunately, I needed his help.	Bueno.
All negative.	Auto-immune serologies?	Who knows.... Maybe he just decided to let the whole ex-wife thing go.	Dr. Cox, I have this, uh, patient, Mr. Zerbo, I can't quite
Negative.	Bone-marrow biopsy?	Then again, maybe he's just letting me stew for a while.	All negative.
Okay, fine: I'm sorry I slept with your ex-wife!	Afraid you got yourself a toughie.	What kind of man tortures people like this!?!	Negative.
It was an accident.	I think I'll sit back down.	Okay, fine: I'm sorry I slept with your ex-wife!	Afraid you got yourself a toughie.
A little scary Sorry! Jitters!	Look.... First of all, it's not like you tripped and fell into her...and then out of her...and then into her...again. And, second of all, you're smart enough to know that I don't want to talk about this; I don't want to know where you did it; I don't even want to know...how it was.	It was an accident.	I think I'll sit back down.
Cool!	Lookit: I know you didn't have any idea who she was, and I understand why you were too nervous to tell me. So, whatta ya say we leave it at that? I forgive you; you are forgiven. Okay?	And here come the fireworks....	A little scary Sorry! Jitters!
Now, she's in a really awkward place; so just be sensitive.	I have no idea how to treat this patient. Help me out.	Oh, for God's sakes, would you throw her a rope?	No.I must have left it at college.
I think we should sex each other.	Now, she's in a really awkward place; so just be sensitive.	I have no idea how to treat this patient. Help me out.	Oh, for God's sakes, would you throw her a rope?
Just hear me out: Our relationship ended so quickly, maybe too quickly, you know? And, now there's like these these feelings floating around, and I feel like we're always gonna regret it if we don't...see if they lead somewhere.What do you think?I can't believe how weird it feels to be back here again.	I'm sorry?	I think we should sex each other.	Now, she's in a really awkward place; so just be sensitive.
If Carla's so mad, I don't understand why she doesn't just crash at her own place.	Yeah.... But it seems so right.	Just hear me out: Our relationship ended so quickly, maybe too quickly, you know? And, now there's like these these feelings floating around, and I feel like we're always gonna regret it if we don't...see if they lead somewhere.What do you think?I can't believe how weird it feels to be back here again.	I'm sorry?
What are you talking about, Willis?	Oh, she is back at her place.	If Carla's so mad, I don't understand why she doesn't just crash at her own place.	Yeah.... But it seems so right.
Yeah, I know.	That's pretty funny!We should make that one of our things.	What are you talking about, Willis?	Oh, she is back at her place.
No.	He hasn't yelled at you?	Yeah. You know what's weird, though? It's like, Dr. Cox and I are pretty vegan-kosher.	I think I'd really panic if she went back to her place.J.D., this sucks.
Mm-mm.	This is the guy that screamed on you for like twenty minutes for dropping a thermometer? And he hasn't raised his voice once about you bumping uglies with his ex-wife?	No.	He hasn't yelled at you?
And that's when I realized something....	I don't get that guy.	Mm-mm.	This is the guy that screamed on you for like twenty minutes for dropping a thermometer? And he hasn't raised his voice once about you bumping uglies with his ex-wife?
Uh...I must have misplaced my pager.	Hey, where you been? I paged you twice.	And that's when I realized something....	I don't get that guy.
...he didn't care about me anymore.	Huh. Probably ought to try and find that.	The reason Dr. Cox wasn't yelling at me like he used to...	Uh...I must have misplaced my pager.
Hey.	Uncool!You look totally hot, Mirror Todd.	Do these help?	This is how The Todd gets his self-esteem on.
You know, Elliot, I think we should talk about the sexual tension	Hey.	Hey.	Uncool!You look totally hot, Mirror Todd.
Awesome!	There is no sexual tension, okay!Just...go ahead and look before your neck snaps.	You know, Elliot, I think we should talk about the sexual tension	Hey.
And the and the sexual tension.	J.D., the problem is this place. I mean, when we broke up, I had to see you the next day...and the next day. And we never...got any distance from the relationship. I never got...to move on, you know?	Awesome!	There is no sexual tension, okay!Just...go ahead and look before your neck snaps.
Whatever. The point is that Turk is sorry.	See? Trust, woman, trust!	And Carla, you're mad that Turk didn't trust you enough to tell you.	You're starting again.
Oh, my God rounds!	I'm going out for Mexican food tonight. And I'll see you in bed, my friend.	Aren't you glad we did this?	Okay, that's it! Now, I have killed for so much less than that, and I'll damn-sure do it again unless you all shut the hell up right now and I MEAN NOW!
Rounds started five minutes ago, and I totally forgot about Mr. Zerbo! Oh, my God...Oh, my God...Oh, my God	The Hall	Oh, my God rounds!	I'm going out for Mexican food tonight. And I'll see you in bed, my friend.
Ow!	Are you plannin' on makin' this worth my while?	Rounds started five minutes ago, and I totally forgot about Mr. Zerbo! Oh, my God...Oh, my God...Oh, my God	The Hall
Think, Whiz Kid, think!Ah, the hell with it.	Dr. Dorian? How 'bout you step up to the mic and tell the entire gang how you ended up treating Mr. Zerbo.	Ow!	Are you plannin' on makin' this worth my while?
Huh?	Great job, sport!	Nothing at all.	You did...nothing?
Clear.	It's short for "Sandra".	You know, "Sandy" isn't necessarily a girls' name.	Sandy, whatta ya say we start our work day.
Oh, God. The ex-wife.	Hello, Perry.	Clear.	It's short for "Sandra".
Ow!	Goodbye, Jordan. Sandy.	No worries.	Don't answer that, Newbie.
You know, it's J.D. Okay? And at least I remember the names of all my sexual partners.	Good job, D.J.	Ow!	Goodbye, Jordan. Sandy.
It was Camp Meadow Wood. ...I made a lanyard.	Well, I'm sure that girl from high school and your bunk-mate from Camp Morning Wood are both extremely grateful. Yeah.	You know, it's J.D. Okay? And at least I remember the names of all my sexual partners.	Good job, D.J.
The frustrating thing was, down in the OR, Turk was probably running the show.	You know, you're right. Would you do me a favor and apologize to her while you get me some coffee. And please be quick, otherwise I'm just gonna have the manager send over a different waitress. Go. You're done now. Yeah.	You know that was...kind of demeaning.	I mean like a glazed thingie. And I like sprinkles on half of it; so if you can't find a half sprinkled, get me all sprinkles and just go ahead and pick half of 'em off.
Or the nurse who everyone agrees is just a little bit off.Or, if there's a full moon....	Hey, bro.	Unfortunately, I'm on-call tonight, and as weird as this place is during the day...it's even worse at night. See, that's when all the weirdos come out.Like the ER doctor who likes to work nights 'cause he says he's up anyway.	Huh? Oh! Oh.... I get it. Neither is Tim.
Ted, I know, you told me last time that we	Hey. This is my band. We all work in different departments in the hospital.	Or the nurse who everyone agrees is just a little bit off.Or, if there's a full moon....	Hey, bro.
Hey. So, what attendings are stuck here on-call tonight?	No, no, no. That was lame. We do prime-time now.	Oh, yeah, I remember, the uh cartoon theme songs.	Dr. Kelso lets us practice here at night.
Oh, come on. You guys are missing the point: No one is here tonight but us, we are running this hospital.	It's disturbing how obsessed you are with your own butt.	Well, I'm "Carol", so yes.	Is Carol the one with the really firm butt?
...And then the next moment, everything changes.	Oh, God. Come on.	It's amazing how one moment you think you know exactly what you want....	I love my butt!
Never actually...done one of these unsupervised before.	Okay, Elliot: The ER doctor knows there's no attending up here, so instead of treating-&-streeting people, he's just admitting everyone. You've got twelve so far.Turk: Oncology, Cardiology, and Pediatrics all need surgical consults...plusThat phone is for you. It's the clinic they, too, know you're on your own so they're just patching all their night calls right on through.And Bambi: Room 201 needs an art-line, Room 202 needs reintubation; plus, Carol, you're needed in ICU to place a femoral swan under flu on Mr. Freed.	...And then the next moment, everything changes.	Oh, God. Come on.
This this isn't like being a janitor, okay! It's not just like something everybody can do.	I owe ya. I'm helping you out.	What are you doing in here?	Want me to knock him out?
YES!	Oh. So you can do my stuff, but I can't do yours.	This this isn't like being a janitor, okay! It's not just like something everybody can do.	I owe ya. I'm helping you out.
I don't know, the...rough side of a sponge?	Okay, hotshot, what would you use to get a coffee stain up off a tile floor?	YES!	Oh. So you can do my stuff, but I can't do yours.
Turk should've known that the worst mistake a doctor can possibly make is setting foot in the hospital's free clinic at night.	Yeah. This ends now.	We'll meet back here in a few hours and see if his vitals have improved.	That's inspiring.
Okay, I want that, then.	You know you could have just asked me to stop hassling you for, like, a year?	Thank God.	Fine. All right, we're even.
But I...use those...for listening.	It's too late.	Okay, I want that, then.	You know you could have just asked me to stop hassling you for, like, a year?
His vitals are exactly the same. There's gotta be one attending in this stupid hospital.	Oh, uh, they want you upstairs in room, um, 208.	But I...use those...for listening.	It's too late.
We all knew what we had to do.	Now I know you're all hoping Officer Berson's vitals will go up or down and this decision will be made for you, but guess what? Nothing's changed. So it's on you.	It's on my to-do list.	You all claim you want more responsibility.... But you're being outsmarted by a doctor who wears scrubs made out of hemp; you're afraid to stand up to a volunteer who's answering the clinic phones; and Bambi, did you ever place that femoral swan?
Sometimes, just making a decision is half the battle.	Surgery.	We all knew what we had to do.	Now I know you're all hoping Officer Berson's vitals will go up or down and this decision will be made for you, but guess what? Nothing's changed. So it's on you.
Even though we all know that tomorrow morning, the three of us'll go back to being the most unappreciated people in the whole damn hospital.	Everything went, uh, really well.	Sometimes, we're our own worst enemy.And sometimes, we rise to the occasion.	Thank you, thank you.
Sass.	Stop saying sass.	Wow. She had some real old-fashioned sass. I mean, you just don't see sass like that anymore.	Careful, there, sweet-cheeks. I haven't decided which way I'm going to take your temperature yet.
Don't get sucked in!	Oh, did you say something, Mr. Too Scared To Get In The Game?	Front butt.... It's like the grail.	Bravo! Bravo!
You broke your penis.	Great, and that means....?	You know, I have an interesting patient, too.So, basically, Mr. Davis, you received a blunt trauma to the fibrous tissue of the corpus cavernosum.	Don't get sucked in!
I-I gotta tell you, it's such an unusual case.... Would you mind if I try and get it published in a medical journal?	Wow. I can't wait to get my cast signed.	You broke your penis.	Great, and that means....?
I'll let you...mull it over. And smile, Mr. Davis - tomorrow's gonna be a better day...for everyone.	That would be fantastic!	I-I gotta tell you, it's such an unusual case.... Would you mind if I try and get it published in a medical journal?	Wow. I can't wait to get my cast signed.
No, seriously, try me I can deal with anything.	Nothin'. Might just veg.	Well, why? What do you have to do?	Uhh, I don't know.
"Go aschmay."	Go away.	No, seriously, try me I can deal with anything.	Nothin'. Might just veg.
Some are so unexpected that everything else takes a back-seat.	Dr. Kelso! Is he gone?	Around here, life can be full of surprises. Some are as simple as forgetting something you were supposed to ask for....	"Eat _schmit_ and die."
I know.	Listen, Newbie, I don't tell you I respect you a lot because, well, I don't.	And some you never thought you'd hear.	I'm getting big, fake breasts.
I'm goin' to Reno! Yeah! Yeah! Yeah! Yeah!	What the hell. Go ahead and use me in your case report.	You see, ten minutes ago....	This is great! There's only one problem.
Not about Reno.	Beg your pardon, Newbie? What are ya thinkin'?	I'm goin' to Reno! Yeah! Yeah! Yeah! Yeah!	What the hell. Go ahead and use me in your case report.
Well, I've only been here a year, and he's actually just started calling me "The Kid" - which I love, by the way.	So, why haven't I heard your name before?	"The kid"? This is great.	Ohh, come on, the kid's okay.
Okay.	She's talking to me, pumpkin.	Well, I've only been here a year, and he's actually just started calling me "The Kid" - which I love, by the way.	So, why haven't I heard your name before?
Well, sir, I	You know, that's what my son always says. But then when Mother's Day rolls around, guess who wants me to go halvsies on a pasta pot for Enid?	Nothing, sir. I don't want anything from you, ever.	And you?
You can't just change your mind!	She's not _my_ mother, dammit!Oh. And don't think that I've forgotten that you have yet to turn in a case report. You have until six.	Well, sir, I	You know, that's what my son always says. But then when Mother's Day rolls around, guess who wants me to go halvsies on a pasta pot for Enid?
Crap.	Oh, I'm sorry. Did I pass out from the pain in my penis and suddenly we're not in America anymore?	You can't just change your mind!	She's not _my_ mother, dammit!Oh. And don't think that I've forgotten that you have yet to turn in a case report. You have until six.
I just had to go for it.	Whole thing's very treatable. We're gonna step outside, and then we'll get underway - how's that sound?Newbie, whatta you say?	And that's when I realized Mrs. Warner was the most interesting case in the hospital.	No.
To marry me.	What?	Actually, if you could just give me a second, I want to ask Mrs. Warner something.	I just had to go for it.
Mrs. Warner, I was wondering if you'd give me permission to present your case to possibly be published in a national medical journal, so that I might be chosen to go to an AMA conference.	Come on - heel, toe - whatta you say, kid?	To marry me.	What?
Thanks.Excuse me.	Sure. Why not.	Mrs. Warner, I was wondering if you'd give me permission to present your case to possibly be published in a national medical journal, so that I might be chosen to go to an AMA conference.	Come on - heel, toe - whatta you say, kid?
